Date_key,Day,Day_of_week,Month,Year,Week_of_month,Week_of_year,Full_date
126,6,2,5,2013,2,19,2013-05-06
127,7,3,5,2013,2,19,2013-05-07
128,8,4,5,2013,2,19,2013-05-08
129,9,5,5,2013,2,19,2013-05-09
130,10,6,5,2013,2,19,2013-05-10
131,11,7,5,2013,2,19,2013-05-11
132,12,1,5,2013,3,20,2013-05-12
133,13,2,5,2013,3,20,2013-05-13
134,14,3,5,2013,3,20,2013-05-14
135,15,4,5,2013,3,20,2013-05-15
136,16,5,5,2013,3,20,2013-05-16
137,17,6,5,2013,3,20,2013-05-17
138,18,7,5,2013,3,20,2013-05-18
139,19,1,5,2013,4,21,2013-05-19
140,20,2,5,2013,4,21,2013-05-20
141,21,3,5,2013,4,21,2013-05-21
142,22,4,5,2013,4,21,2013-05-22
143,23,5,5,2013,4,21,2013-05-23
144,24,6,5,2013,4,21,2013-05-24
145,25,7,5,2013,4,21,2013-05-25
146,26,1,5,2013,5,22,2013-05-26
147,27,2,5,2013,5,22,2013-05-27
148,28,3,5,2013,5,22,2013-05-28
149,29,4,5,2013,5,22,2013-05-29
150,30,5,5,2013,5,22,2013-05-30
151,31,6,5,2013,5,22,2013-05-31
152,1,7,6,2013,1,22,2013-06-01
153,2,1,6,2013,2,23,2013-06-02
154,3,2,6,2013,2,23,2013-06-03
155,4,3,6,2013,2,23,2013-06-04
156,5,4,6,2013,2,23,2013-06-05
157,6,5,6,2013,2,23,2013-06-06
158,7,6,6,2013,2,23,2013-06-07
159,8,7,6,2013,2,23,2013-06-08
160,9,1,6,2013,3,24,2013-06-09
161,10,2,6,2013,3,24,2013-06-10
162,11,3,6,2013,3,24,2013-06-11
163,12,4,6,2013,3,24,2013-06-12
164,13,5,6,2013,3,24,2013-06-13
165,14,6,6,2013,3,24,2013-06-14
166,15,7,6,2013,3,24,2013-06-15
167,16,1,6,2013,4,25,2013-06-16
168,17,2,6,2013,4,25,2013-06-17
169,18,3,6,2013,4,25,2013-06-18
170,19,4,6,2013,4,25,2013-06-19
171,20,5,6,2013,4,25,2013-06-20
172,21,6,6,2013,4,25,2013-06-21
173,22,7,6,2013,4,25,2013-06-22
174,23,1,6,2013,5,26,2013-06-23
175,24,2,6,2013,5,26,2013-06-24
176,25,3,6,2013,5,26,2013-06-25
177,26,4,6,2013,5,26,2013-06-26
178,27,5,6,2013,5,26,2013-06-27
179,28,6,6,2013,5,26,2013-06-28
180,29,7,6,2013,5,26,2013-06-29
181,30,1,6,2013,6,27,2013-06-30
182,1,2,7,2013,1,27,2013-07-01
183,2,3,7,2013,1,27,2013-07-02
184,3,4,7,2013,1,27,2013-07-03
185,4,5,7,2013,1,27,2013-07-04
186,5,6,7,2013,1,27,2013-07-05
187,6,7,7,2013,1,27,2013-07-06
188,7,1,7,2013,2,28,2013-07-07
189,8,2,7,2013,2,28,2013-07-08
190,9,3,7,2013,2,28,2013-07-09
191,10,4,7,2013,2,28,2013-07-10
192,11,5,7,2013,2,28,2013-07-11
193,12,6,7,2013,2,28,2013-07-12
194,13,7,7,2013,2,28,2013-07-13
195,14,1,7,2013,3,29,2013-07-14
196,15,2,7,2013,3,29,2013-07-15
197,16,3,7,2013,3,29,2013-07-16
198,17,4,7,2013,3,29,2013-07-17
199,18,5,7,2013,3,29,2013-07-18
200,19,6,7,2013,3,29,2013-07-19
201,20,7,7,2013,3,29,2013-07-20
202,21,1,7,2013,4,30,2013-07-21
203,22,2,7,2013,4,30,2013-07-22
204,23,3,7,2013,4,30,2013-07-23
205,24,4,7,2013,4,30,2013-07-24
206,25,5,7,2013,4,30,2013-07-25
207,26,6,7,2013,4,30,2013-07-26
208,27,7,7,2013,4,30,2013-07-27
209,28,1,7,2013,5,31,2013-07-28
210,29,2,7,2013,5,31,2013-07-29
211,30,3,7,2013,5,31,2013-07-30
212,31,4,7,2013,5,31,2013-07-31
213,1,5,8,2013,1,31,2013-08-01
214,2,6,8,2013,1,31,2013-08-02
215,3,7,8,2013,1,31,2013-08-03
216,4,1,8,2013,2,32,2013-08-04
217,5,2,8,2013,2,32,2013-08-05
218,6,3,8,2013,2,32,2013-08-06
219,7,4,8,2013,2,32,2013-08-07
220,8,5,8,2013,2,32,2013-08-08
221,9,6,8,2013,2,32,2013-08-09
222,10,7,8,2013,2,32,2013-08-10
223,11,1,8,2013,3,33,2013-08-11
224,12,2,8,2013,3,33,2013-08-12
225,13,3,8,2013,3,33,2013-08-13
226,14,4,8,2013,3,33,2013-08-14
227,15,5,8,2013,3,33,2013-08-15
228,16,6,8,2013,3,33,2013-08-16
229,17,7,8,2013,3,33,2013-08-17
230,18,1,8,2013,4,34,2013-08-18
231,19,2,8,2013,4,34,2013-08-19
232,20,3,8,2013,4,34,2013-08-20
233,21,4,8,2013,4,34,2013-08-21
234,22,5,8,2013,4,34,2013-08-22
235,23,6,8,2013,4,34,2013-08-23
236,24,7,8,2013,4,34,2013-08-24
237,25,1,8,2013,5,35,2013-08-25
238,26,2,8,2013,5,35,2013-08-26
239,27,3,8,2013,5,35,2013-08-27
240,28,4,8,2013,5,35,2013-08-28
241,29,5,8,2013,5,35,2013-08-29
242,30,6,8,2013,5,35,2013-08-30
243,31,7,8,2013,5,35,2013-08-31
244,1,1,9,2013,1,36,2013-09-01
245,2,2,9,2013,1,36,2013-09-02
246,3,3,9,2013,1,36,2013-09-03
247,4,4,9,2013,1,36,2013-09-04
248,5,5,9,2013,1,36,2013-09-05
249,6,6,9,2013,1,36,2013-09-06
250,7,7,9,2013,1,36,2013-09-07
251,8,1,9,2013,2,37,2013-09-08
252,9,2,9,2013,2,37,2013-09-09
253,10,3,9,2013,2,37,2013-09-10
254,11,4,9,2013,2,37,2013-09-11
255,12,5,9,2013,2,37,2013-09-12
256,13,6,9,2013,2,37,2013-09-13
257,14,7,9,2013,2,37,2013-09-14
258,15,1,9,2013,3,38,2013-09-15
259,16,2,9,2013,3,38,2013-09-16
260,17,3,9,2013,3,38,2013-09-17
261,18,4,9,2013,3,38,2013-09-18
262,19,5,9,2013,3,38,2013-09-19
263,20,6,9,2013,3,38,2013-09-20
264,21,7,9,2013,3,38,2013-09-21
265,22,1,9,2013,4,39,2013-09-22
266,23,2,9,2013,4,39,2013-09-23
267,24,3,9,2013,4,39,2013-09-24
268,25,4,9,2013,4,39,2013-09-25
269,26,5,9,2013,4,39,2013-09-26
270,27,6,9,2013,4,39,2013-09-27
271,28,7,9,2013,4,39,2013-09-28
272,29,1,9,2013,5,40,2013-09-29
273,30,2,9,2013,5,40,2013-09-30
274,1,3,10,2013,1,40,2013-10-01
275,2,4,10,2013,1,40,2013-10-02
276,3,5,10,2013,1,40,2013-10-03
277,4,6,10,2013,1,40,2013-10-04
278,5,7,10,2013,1,40,2013-10-05
279,6,1,10,2013,2,41,2013-10-06
280,7,2,10,2013,2,41,2013-10-07
281,8,3,10,2013,2,41,2013-10-08
282,9,4,10,2013,2,41,2013-10-09
283,10,5,10,2013,2,41,2013-10-10
284,11,6,10,2013,2,41,2013-10-11
285,12,7,10,2013,2,41,2013-10-12
286,13,1,10,2013,3,42,2013-10-13
287,14,2,10,2013,3,42,2013-10-14
288,15,3,10,2013,3,42,2013-10-15
289,16,4,10,2013,3,42,2013-10-16
290,17,5,10,2013,3,42,2013-10-17
291,18,6,10,2013,3,42,2013-10-18
292,19,7,10,2013,3,42,2013-10-19
293,20,1,10,2013,4,43,2013-10-20
294,21,2,10,2013,4,43,2013-10-21
295,22,3,10,2013,4,43,2013-10-22
296,23,4,10,2013,4,43,2013-10-23
297,24,5,10,2013,4,43,2013-10-24
298,25,6,10,2013,4,43,2013-10-25
299,26,7,10,2013,4,43,2013-10-26
300,27,1,10,2013,5,44,2013-10-27
301,28,2,10,2013,5,44,2013-10-28
302,29,3,10,2013,5,44,2013-10-29
303,30,4,10,2013,5,44,2013-10-30
304,31,5,10,2013,5,44,2013-10-31
305,1,6,11,2013,1,44,2013-11-01
306,2,7,11,2013,1,44,2013-11-02
307,3,1,11,2013,2,45,2013-11-03
308,4,2,11,2013,2,45,2013-11-04
309,5,3,11,2013,2,45,2013-11-05
310,6,4,11,2013,2,45,2013-11-06
311,7,5,11,2013,2,45,2013-11-07
312,8,6,11,2013,2,45,2013-11-08
313,9,7,11,2013,2,45,2013-11-09
314,10,1,11,2013,3,46,2013-11-10
315,11,2,11,2013,3,46,2013-11-11
316,12,3,11,2013,3,46,2013-11-12
317,13,4,11,2013,3,46,2013-11-13
318,14,5,11,2013,3,46,2013-11-14
319,15,6,11,2013,3,46,2013-11-15
320,16,7,11,2013,3,46,2013-11-16
321,17,1,11,2013,4,47,2013-11-17
322,18,2,11,2013,4,47,2013-11-18
323,19,3,11,2013,4,47,2013-11-19
324,20,4,11,2013,4,47,2013-11-20
325,21,5,11,2013,4,47,2013-11-21
326,22,6,11,2013,4,47,2013-11-22
327,23,7,11,2013,4,47,2013-11-23
328,24,1,11,2013,5,48,2013-11-24
329,25,2,11,2013,5,48,2013-11-25
330,26,3,11,2013,5,48,2013-11-26
331,27,4,11,2013,5,48,2013-11-27
332,28,5,11,2013,5,48,2013-11-28
333,29,6,11,2013,5,48,2013-11-29
334,30,7,11,2013,5,48,2013-11-30
335,1,1,12,2013,1,49,2013-12-01
336,2,2,12,2013,1,49,2013-12-02
337,3,3,12,2013,1,49,2013-12-03
338,4,4,12,2013,1,49,2013-12-04
339,5,5,12,2013,1,49,2013-12-05
340,6,6,12,2013,1,49,2013-12-06
